BINOMIAL,ID,Year,Lat,Long,Frequency,Duration,n,tau_p,tau_p_min,tau_p_max,tau_v,tau_v_min,tau_v_max,diffusion,diffusion_min,diffusion_max,HR,HR_min,HR_max,Speed,Speed_min,Speed_max
during,42296,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,
during,43091,2021,53.8116599,-121.5807813,720,27,55,318359.2319,82103.64446,1234447.035,NA,NA,NA,42.47618846,28.09881427,59.77684441,77743812.16,23349311.13,164260216.3,NA,NA,NA
during,43092,2021,53.75277595,-121.5268559,720,22.00069444,38,NA,NA,NA,NA,NA,NA,35.15077786,23.02896704,49.79488729,53334401.75,27333368.8,87880643.85,NA,NA,NA
during,43093,2021,53.43382475,-121.296504,720,27.5,56,1336327.671,185171.4468,9643882.325,NA,NA,NA,18.05259255,13.08092049,23.81260934,224094226,32332597.01,597540379.5,NA,NA,NA
during,44094,2021,54.45846315,-121.5679717,720,24.5,50,236017.4957,91704.30625,607433.3969,NA,NA,NA,7.3558691,5.204506958,9.873574439,14665745.37,6315314.627,26473520.76,NA,NA,NA
during,44095,2021,54.8618219,-122.0729219,720,24,45,386146.0595,96823.35987,1540008.314,23305.53664,8972.953565,60531.68937,13.12321143,7.463257605,20.35416703,48500758.41,14468794.06,102741933.3,NA,NA,NA
during,44096,2021,53.7818239,-120.518572,720,25.49930556,50,978247.6622,125792.5136,7607515.434,NA,NA,NA,14.35444025,10.47019791,18.84197932,133026168.6,18519332.99,357999821.9,NA,NA,NA
during,44097,2021,53.43228215,-121.2995864,720,27.5,54,1476757.869,185668.7619,11745722.76,17337.38251,7739.711013,38836.69967,20.42124597,12.42558593,30.37094392,330295410.6,45128010.5,893151025.2,NA,NA,NA
during,44098,2021,54.972953,-122.3760056,720,23.49930556,48,1436712.14,121240.4825,17025186.07,NA,NA,NA,9.507476235,6.676442488,12.83105286,112105982.5,10144025.01,333506669.4,NA,NA,NA
during,44100,2021,53.9844595,-121.4383414,720,27.5,56,304462.1529,91407.82724,1014105.743,19364.10169,8461.182934,44316.31336,24.85504265,15.33562508,36.6357375,61258270.45,23151133.53,117581047.3,NA,NA,NA
during,44101,2021,54.7158137,-121.5943232,720,24,46,1070062.567,138971.899,8239319.651,NA,NA,NA,14.55074332,10.00402751,19.9357767,135734490.5,18793710.52,365797799.4,NA,NA,NA
during,44103,2021,53.9955723,-121.269551,720,23.5,48,516780.2998,109320.4966,2442925.953,NA,NA,NA,5.934603943,4.04715958,8.177593489,24758356.23,5772373.516,57305461.77,NA,NA,NA
during,44106,2021,54.1575075,-121.4586016,720,24.5,50,626312.7728,116758.3383,3359654.609,18567.74832,7803.72899,44179.0429,17.82546381,10.34437325,27.3088306,107620988.3,23752554.67,253637567,NA,NA,NA
during,44130,2021,54.7451457,-121.9298305,720,25,51,2794128.082,183774.4437,42482249.33,NA,NA,NA,4.091147271,2.914716014,5.463904937,109918115,7463065.647,346316236.4,NA,NA,NA
during,45317,2021,54.7510373,-121.5979538,720,24,48,1657099.075,155358.8282,17675064.73,12165.10096,3239.15269,45687.77567,13.17531613,7.867886853,19.82864666,233217920.6,24311967.14,672719483.1,NA,NA,NA
during,45318,2021,53.7724667,-120.6329958,720,25.5,52,NA,NA,NA,NA,NA,NA,19.55005131,12.91446352,27.53942964,31917700.48,15938092.37,53352656.65,NA,NA,NA
during,81287,2020,53.9057583,-121.3151181,720,12.49930556,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,20857280.81,11949376.71,32205487.61,NA,NA,NA
during,81292,2021,54.8479003,-122.0774681,720,70.50069444,121,561399.2655,207099.301,1521826.166,NA,NA,NA,17.61007281,13.61092118,22.11646774,75727978.3,30647195.54,140845510.5,NA,NA,NA
during,81295,2021,53.30113,-120.8757711,720,70,109,4708090.327,393764.4117,56292833.65,NA,NA,NA,46.73372536,36.78681343,57.85289465,1851001334,159385916.1,5564088523,NA,NA,NA
during,81311,2021,54.2193231,-121.5738033,720,70.50069444,121,176724.8656,109348.3519,285616.3587,NA,NA,NA,16.79997817,12.87148299,21.24368719,23821722.23,16042641.77,33114194.3,NA,NA,NA
during,81313,2021,53.9997579,-121.4397241,720,70.5,120,372983.1802,197638.7453,703892.6123,NA,NA,NA,42.89407682,33.47721879,53.46028663,103363635.6,57627822.86,162239902.7,NA,NA,NA
during,81315,2021,54.1924365,-121.2398897,720,70,106,216391.2433,125382.1669,373459.5704,NA,NA,NA,13.40883663,9.934423453,17.39621627,20486148.62,13056296.3,29562672.85,NA,NA,NA
during,81325,2020,53.4747271,-121.4084413,720,39.5,72,2352898.647,260788.3199,21228450.9,NA,NA,NA,29.37143022,21.84392249,37.99621424,617483419.7,70530472.45,1744211969,NA,NA,NA
during,81327,2021,53.7526428,-120.6385808,720,70,115,1931111.224,394094.5839,9462679.037,NA,NA,NA,16.38111932,13.0622857,20.06998052,284015450.4,59999059.61,678811515,NA,NA,NA
during,81332,2021,54.1374114,-121.487407,720,69.5,114,271788.3564,147070.4685,502268.82,NA,NA,NA,27.57991316,21.42874722,34.49541507,53316334.76,31133303.32,81368794.15,NA,NA,NA
during,81350,2021,54.64603905,-121.5106196,720,70.5,128,882862.801,286196.444,2723467.54,NA,NA,NA,19.09911577,15.25623831,23.36714628,135360655.2,46365361.24,271183901.3,NA,NA,NA
during,81354,2021,53.7365217,-120.6960806,720,70.5,131,2811018.727,400178.6783,19745745.36,NA,NA,NA,12.3158453,9.912938972,14.97560216,306924457.6,45186237.76,814092446.2,NA,NA,NA
during,81355,2021,54.6406081,-121.82991,720,70.5,99,1107778.606,329744.528,3721588.492,NA,NA,NA,8.701418135,6.635396117,11.04317382,77605451.63,24549416.51,160645427.5,NA,NA,NA
during,81365,2021,53.4640736,-121.4298924,16559,11.49930556,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,16398760.1,248800.3661,64551916.91,NA,NA,NA
during,83781,2021,54.705259,-122.0540174,900,70.41597222,94,6327974.528,428955.5457,93350609.47,NA,NA,NA,12.42609941,9.079410999,16.28973517,558364598.1,38872535.11,1750884862,NA,NA,NA
during,83782,2021,54.8001292,-121.5589275,781,70.33333333,93,732497.665,250773.2931,2139593.186,NA,NA,NA,34.0329509,24.1540184,45.57908313,151732658,58325686.24,289012073.7,NA,NA,NA
during,85443,2021,54.710211,-122.0402927,781,69.875,98,5660822.372,431356.4073,74288707.41,NA,NA,NA,14.55900128,10.80753039,18.86076247,594963165.9,46533542.05,1823776871,NA,NA,NA
during,85451,2021,54.67209945,-121.7924723,780,69.875,116,208505.7342,119105.6214,365009.1463,NA,NA,NA,2.327509632,1.637112963,3.137468847,2888900.424,1850400.693,4155009.109,NA,NA,NA
prior1,15024,2020,50.45958,-117.16661,720,40,57,NA,NA,NA,NA,NA,NA,2.518920178,1.604880408,3.635673658,3182807.816,1797223.134,4957831.573,NA,NA,NA
prior1,22562,2020,50.489675,-117.36235,1440,68.99930556,52,588700.463,213381.2771,1624173.591,NA,NA,NA,1.189803863,0.749947638,1.729534857,4763323.534,2065741.789,8568424.011,NA,NA,NA
prior1,22563,2020,50.330715,-117.77582,1440,35,30,745383.0646,117516.2476,4727822.103,NA,NA,NA,2.262604662,1.236411918,3.593737062,12593502.53,2539277.124,30540791.24,NA,NA,NA
prior1,22564,2020,50.461455,-117.160035,1440,68,52,9062207.744,553886.0715,148268052.6,NA,NA,NA,1.484288945,1.013459606,2.043528215,135365495.2,8602727.318,431785452.4,NA,NA,NA
prior1,25309,2020,51.6773912,-118.7292361,690,66.12430556,135,6099409.344,510375.6011,72892971.9,14799.93096,6769.986718,32354.26677,4.46616269,3.154418159,6.002406182,271633925.5,23244711.55,817581524.4,NA,NA,NA
prior1,25315,2020,51.44669065,-118.7917483,690,68.04166667,134,1598861.923,330943.2329,7724465.09,10248.60075,3730.847974,28152.80014,6.504358165,4.757508273,8.520141598,95319597.91,21319837.16,223673742.6,NA,NA,NA
prior1,29082,2020,51.5110468,-118.9821942,781,67.70833333,73,1806785.684,330304.4519,9883228.908,20167.39957,9138.021395,44508.97935,5.90439529,4.019352786,8.146189534,106568644.4,21642820.85,257868311.1,NA,NA,NA
prior1,29088,2020,51.5561037,-118.7120252,780,68.25,98,895226.2248,269805.2276,2970402.022,NA,NA,NA,5.487846048,4.299597426,6.818871101,37210366.65,11927272.63,76618645.5,NA,NA,NA
prior1,29089,2020,51.67758875,-118.7274965,781,68.25069444,68,11108593.25,631882.1053,195290930.2,NA,NA,NA,4.4581477,3.413746136,5.6398078,502959167,29101337.8,1631812529,NA,NA,NA
prior1,29092,2020,51.5098219,-118.9810031,1559,68.25069444,59,1786370.63,362351.7791,8806690.657,16120.49114,4241.350015,61270.64112,6.233773242,4.16093271,8.718935979,110372340,25056671.19,257735150.3,NA,NA,NA
prior1,29094,2020,51.6763575,-118.7256229,1560,66.62361111,55,410190.1498,177536.7369,947724.7463,NA,NA,NA,1.849319683,1.206723854,2.62689379,3624576.477,1807231.564,6063683.574,NA,NA,NA
prior1,29095,2020,51.5108818,-118.9816622,780,66.625,81,1570404.714,347491.383,7097070.85,19927.82146,9996.677862,39725.004,6.889880688,4.797071036,9.355595723,108353077.3,26406051.4,247061590.2,NA,NA,NA
prior1,29098,2020,51.7011083,-118.7943332,1560,67.70833333,55,2562457.058,248871.0228,26383891.95,NA,NA,NA,0.097098068,0.051550535,0.156825402,1218763.647,175291.3116,3252463.642,NA,NA,NA
prior1,29102,2020,51.5090261,-118.9799776,781,67.70833333,81,1231392.137,323243.3288,4690975.685,10936.18677,2380.892234,50233.34502,5.029511907,3.565063927,6.742013417,59710243.98,17350215.4,127770184.6,NA,NA,NA
prior1,29103,2020,51.6116596,-118.7974495,1560,65.54236111,37,3636077.447,351674.9812,37594540.15,56408.35231,25892.6582,122888.202,29.8604481,16.0222609,47.93471088,920248602.2,102507629.4,2614653479,NA,NA,NA
prior1,29104,2020,51.6034941,-118.7979688,1559.5,66.62430556,57,3025263.007,372650.1329,24559809.46,20514.61999,6463.838572,65108.31434,18.51231146,11.78568529,26.73329538,426733877.9,57631533.73,1157325488,NA,NA,NA
prior1,30276,2020,54.641315,-121.872265,720,48.49930556,96,4037010.751,360254.2318,45238762.97,NA,NA,NA,5.844917873,4.411589182,7.476778236,173486655.5,15848515.21,515067077.1,NA,NA,NA
prior1,30467,2020,54.588855,-121.97887,720,48,88,791934.2397,188728.2474,3323084.11,NA,NA,NA,0.213595796,0.12556115,0.324635219,1024966.284,292916.2062,2207106.443,NA,NA,NA
prior1,30613,2020,53.73186,-120.70777,720,48.50069444,98,2460047.641,291547.8428,20757603.07,12178.72673,4941.753019,30013.921,18.8449463,12.70605346,26.17457518,459999817,59351404.09,1261854546,NA,NA,NA
prior1,30616,2020,54.11887,-121.50016,720,48.50069444,93,1544130.291,227564.313,10477646.18,NA,NA,NA,5.984792336,4.630774216,7.509817915,74521615.71,11658064.7,194484399.4,NA,NA,NA
prior1,32611,2020,54.18796,-121.24824,720,48.5,95,359791.8599,136555.8917,947964.8281,23417.50891,12898.92179,42513.60949,10.98263134,7.712179018,14.82211045,43799166.29,19926415.7,76912462.19,NA,NA,NA
prior1,37667,2020,50.35465,-117.70873,900,28,43,1603544.039,187576.7806,13708271.76,NA,NA,NA,6.010450801,3.946322635,8.501872636,81299022.46,10030889.16,225469254.2,NA,NA,NA
prior1,37668,2020,50.488,-117.36108,1440,27.99861111,27,366163.8149,72765.28165,1842581.192,NA,NA,NA,2.166816429,1.206246933,3.404075272,6667970.362,1869318.085,14462086.54,NA,NA,NA
prior1,37669,2020,50.47677,-117.11505,899,27.62430556,47,3163354.667,199201.8762,50234530.64,NA,NA,NA,2.177583144,1.521580809,2.949319775,68023091.21,4464428.295,215687717.8,NA,NA,NA
prior1,37670,2020,50.476725,-117.114925,899,27.99930556,44,3588267.794,216925.9982,59355106.66,NA,NA,NA,1.751875694,1.193394484,2.415862098,63504319.96,3997059.377,202924222.9,NA,NA,NA
prior1,37671,2020,50.354435,-117.705465,900,28,36,955969.2957,140356.7983,6511101.034,25914.97318,9107.02987,73743.67321,6.207093534,3.208163705,10.17914002,55446443.53,10014365.21,138977623.7,NA,NA,NA
prior1,37673,2020,50.35463,-117.705215,900,28,36,2077586.461,189632.1102,22761785.95,19191.68817,4715.247351,78112.74095,5.41806338,2.933110158,8.652866859,122884739.9,12451745.31,356715863,NA,NA,NA
